raceId,year,name,AirTemp,TrackTemp,Humidity,Rainfall,WindSpeed
989,2018,Australian Grand Prix,24.077477477477483,36.32432432432432,30.91531531531532,0.045045045045045,3.691891891891892
990,2018,Bahrain Grand Prix,27.982524271844653,32.19805825242719,47.36310679611651,0.0,0.9582524271844662
991,2018,Chinese Grand Prix,19.446428571428573,37.01964285714286,24.089285714285715,0.0178571428571428,1.8375
992,2018,Azerbaijan Grand Prix,16.66140350877193,25.25175438596491,45.651754385964914,0.0,2.22280701754386
993,2018,Spanish Grand Prix,16.050476190476193,32.33904761904761,52.28666666666667,0.7904761904761904,1.9523809523809523
994,2018,Monaco Grand Prix,26.640707964601766,34.60973451327434,50.89292035398231,0.1238938053097345,1.382300884955752
995,2018,Canadian Grand Prix,20.52358490566038,36.94905660377359,27.82547169811321,0.0,2.471698113207547
996,2018,French Grand Prix,24.54607843137256,42.03333333333334,49.049019607843135,0.0098039215686274,1.815686274509804
997,2018,Austrian Grand Prix,23.176086956521743,45.87934782608695,37.141304347826086,0.0,2.4847826086956526
998,2018,British Grand Prix,27.43163265306122,52.16938775510204,38.73979591836735,0.0,1.4612244897959183
999,2018,German Grand Prix,26.40192307692308,40.66826923076923,54.80769230769231,0.2596153846153846,2.0086538461538463
1000,2018,Hungarian Grand Prix,33.75887850467289,51.08971962616822,33.00654205607477,0.0,1.1429906542056074
1001,2018,Belgian Grand Prix,17.327358490566038,27.89811320754717,37.700943396226414,0.0,2.039622641509434
1002,2018,Italian Grand Prix,22.189898989898992,30.822222222222223,63.8070707070707,0.2323232323232323,2.1242424242424245
1003,2018,Singapore Grand Prix,29.86541353383459,33.12406015037594,66.03609022556391,0.0,1.978947368421053
1004,2018,Russian Grand Prix,24.778181818181817,29.945454545454545,61.30818181818182,0.0181818181818181,1.997272727272727
1005,2018,Japanese Grand Prix,28.26481481481482,37.17037037037037,50.51574074074074,0.0,1.7916666666666667
1006,2018,United States Grand Prix,21.93358778625954,30.486259541984733,37.555725190839695,0.0,2.090839694656488
1007,2018,Mexican Grand Prix,20.1231884057971,34.47028985507246,50.70942028985507,0.0,1.5594202898550724
1008,2018,Brazilian Grand Prix,23.7696,40.0688,75.4128,0.0,2.1872000000000003
1009,2018,Abu Dhabi Grand Prix,31.273722627737225,33.31824817518248,45.43795620437956,0.0437956204379562,2.1635036496350364
1010,2019,Australian Grand Prix,23.47786885245901,41.31311475409837,70.4532786885246,0.0,1.166393442622951
1011,2019,Bahrain Grand Prix,26.21085271317829,28.610852713178296,53.372093023255815,0.0,2.7108527131782947
1012,2019,Chinese Grand Prix,19.32992125984252,27.33700787401575,45.98110236220473,0.0,3.3157480314960632
1013,2019,Azerbaijan Grand Prix,19.76356589147287,39.65426356589147,51.40852713178294,0.0,1.2496124031007751
1014,2019,Spanish Grand Prix,20.14772727272728,40.72727272727273,54.724242424242426,0.0,1.9295454545454545
1015,2019,Monaco Grand Prix,22.7546762589928,32.72949640287769,52.69784172661871,0.6258992805755396,0.9035971223021584
1016,2019,Canadian Grand Prix,29.368253968253967,51.098412698412695,16.14761904761905,0.0,1.3087301587301583
1017,2019,French Grand Prix,26.89421487603306,54.525619834710746,39.09090909090909,0.0,1.6785123966942148
1018,2019,Austrian Grand Prix,34.44406779661016,50.74406779661018,17.965254237288136,0.0,1.225423728813559
1019,2019,British Grand Prix,18.90508474576272,30.32203389830509,62.135593220338976,0.0,2.011864406779661
1020,2019,German Grand Prix,21.503401360544217,26.441496598639453,87.83061224489796,0.9659863945578232,1.006122448979592
1021,2019,Hungarian Grand Prix,25.66,44.09692307692308,33.893076923076926,0.0,1.1938461538461538
1022,2019,Belgian Grand Prix,17.4,28.119166666666665,57.03,0.0,2.0358333333333336
1023,2019,Italian Grand Prix,21.0972972972973,33.04054054054055,51.57477477477477,0.0,1.5666666666666669
1024,2019,Singapore Grand Prix,29.965161290322584,35.752903225806456,66.45548387096774,0.0,1.8574193548387088
1025,2019,Russian Grand Prix,22.02977099236641,34.33206106870229,67.41526717557252,0.0076335877862595,1.8740458015267176
1026,2019,Japanese Grand Prix,21.619354838709675,32.18387096774193,57.47822580645161,0.0,5.468548387096775
1027,2019,Mexican Grand Prix,23.203030303030303,41.633333333333326,46.28787878787879,0.0,1.3265151515151512
1031,2020,Austrian Grand Prix,28.684166666666663,52.025,33.8325,0.0,1.8875
1028,2019,United States Grand Prix,21.47557251908397,29.08167938931297,29.242748091603048,0.0,2.553435114503817
1029,2019,Brazilian Grand Prix,21.016793893129773,46.45343511450381,60.28931297709924,0.0,1.287786259541985
1030,2019,Abu Dhabi Grand Prix,26.018045112781955,29.566165413533835,64.47142857142858,0.0,1.2646616541353384
1032,2020,Styrian Grand Prix,20.8225,39.92,34.005,0.0166666666666666,2.228333333333333
1033,2020,Hungarian Grand Prix,20.74179104477612,27.129850746268666,77.19253731343284,0.0149253731343283,1.5597014925373132
1034,2020,British Grand Prix,21.29140625,40.6328125,44.16796874999999,0.0,3.1140625
1035,2020,70th Anniversary Grand Prix,25.287068965517243,43.22758620689656,58.55603448275862,0.0,2.236206896551724
1036,2020,Spanish Grand Prix,29.7968992248062,47.55581395348836,56.38449612403101,0.0,1.5449612403100776
1037,2020,Belgian Grand Prix,18.568595041322315,29.82396694214876,54.85289256198346,0.0,1.465289256198347
1038,2020,Italian Grand Prix,28.090909090909093,41.201398601398594,40.12447552447553,0.0,1.520979020979021
1039,2020,Tuscan Grand Prix,30.16988636363636,43.10227272727273,39.94431818181818,0.0,2.364772727272728
